1,"","hydrogen","",1,""
2,"","carbon","",6,""
3,"","nitrogen","",7,""
4,"","oxygen","",8,""
5,"","fluorine","",9,""
6,"","silicon","",14,""
7,"","phosphorus","",15,""
8,"","sulfur","",16,""
9,"","chlorine","",17,""
10,"","bromine","",35,""
11,"","iodine","",53,""
