1,"","carbon","",6,""
2,"","nitrogen","",7,""
3,"","oxygen","",8,""
4,"","fluorine","",9,""
5,"","silicon","",14,""
6,"","phosphorus","",15,""
7,"","sulfur","",16,""
8,"","chlorine","",17,""
